dim,total_sample,total_class,reduced_dim,data_time,total_time,memory_usage}
12,3200,2,2,894.083063,1790.35955,222
24,6400,2,2,412.472328,504.17766,268
8,12800,2,2,239.710516,265.441669,210
4,50,2,2,9.734093,16.508508,210
12,400,2,2,19.921407,25.638393,217
8,100,2,2,4.423506,11.258492,217
4,1600,2,2,18.786301,23.778254,228
24,3200,2,2,132.546467,195.931286,132
20,400,2,2,24.089785,28.756028,145
20,50,2,2,4.914956,10.535805,148
12,6400,2,2,136.808853,153.308099,264
16,1600,2,2,74.608283,81.95538,304
20,12800,2,2,523.733886,565.661071,357
12,50,2,2,2.414463,5.506659,357
24,12800,2,2,643.622743,695.132031,273
20,200,2,2,13.702861,18.155636,276
4,100,2,2,3.773923,6.216263,280
12,200,2,2,10.47913,14.06064,284
28,50,2,2,7.423025,16.15821,284
20,1600,2,2,63.766645,72.32041,335
12,800,2,2,23.350223,28.037422,349
8,1600,2,2,38.414272,43.116011,189
20,800,2,2,45.009005,53.167674,214
28,3200,2,2,149.75805,165.695873,359
28,100,2,2,14.351849,21.575917,363
28,6400,2,2,342.471821,371.893122,318
28,25600,2,2,1913.429703,2054.0786,354
16,25600,2,2,1035.204534,1105.996014,556
12,25600,2,2,1093.52249,1178.925315,572
24,100,2,2,9.590904,13.180109,576
4,25600,2,2,282.34259,323.605656,592
16,100,2,2,11.907937,14.884004,595
28,12800,2,2,997.418133,1079.308935,684
4,800,2,2,8.061544,10.137165,687
24,50,2,2,6.250596,11.843002,691
24,400,2,2,47.671261,51.703867,706
16,400,2,2,15.428674,24.240032,532
28,200,2,2,18.968371,22.790377,539
8,50,2,2,3.440185,4.946463,539
28,1600,2,2,103.290167,113.165519,612
8,3200,2,2,52.590865,60.10499,654
4,12800,2,2,118.484579,138.770039,557
8,800,2,2,43.836245,46.664475,565
16,200,2,2,12.629292,15.29223,572
28,400,2,2,29.637706,34.462993,587
12,12800,2,2,318.635103,355.874911,653
16,50,2,2,29.884579,44.595504,657
24,200,2,2,90.936955,95.933869,661
8,6400,2,2,150.946617,173.13975,739
16,12800,2,2,449.691455,487.492315,673
24,800,2,2,73.584616,78.34792,706
20,6400,2,2,265.497579,285.640731,688
16,800,2,2,33.180806,36.614585,709
16,3200,2,2,97.494036,107.290125,573
16,6400,2,2,164.574141,181.031608,733
8,200,2,2,5.940918,7.329156,737
20,3200,2,2,123.828304,134.775198,619
8,25600,2,2,365.401644,404.153262,753
4,400,2,2,6.637365,7.823734,758
28,800,2,2,49.929784,59.223355,542
12,1600,2,2,42.388294,46.512979,572
4,6400,2,2,48.981415,58.183325,611
12,100,2,2,5.153548,6.621301,611
4,200,2,2,7.566219,9.993397,616
24,1600,2,2,74.346305,82.426478,675
24,25600,2,2,2954.328815,3067.774922,334
4,3200,2,2,26.144331,32.639241,352
20,25600,2,2,1229.341155,1311.566803,377
20,100,2,2,6.79011,8.68962,381
8,400,2,2,14.799096,17.158804,385
